date,btc,gold,btc_tradable,gold_inter,gold_tradable,btc_diff,gold_diff
2016-11-09,720.93,1281.4,True,1281.4,True,11.959999999999923,-0.9499999999998181
2016-11-10,721.5,1267.5,True,1267.5,True,0.57000000000005,-13.900000000000091
2016-11-11,715.45,1236.45,True,1236.45,True,-6.0499999999999545,-31.049999999999955
2016-11-12,703.71,,True,1228.8333333333333,False,-11.740000000000009,-7.616666666666788
2016-11-13,702.28,,True,1221.2166666666667,False,-1.4300000000000637,-7.616666666666561
2016-11-14,706.46,1213.6,True,1213.6,True,4.180000000000064,-7.616666666666788
2016-11-15,710.91,1226.95,True,1226.95,True,4.449999999999932,13.350000000000136
2016-11-16,711.73,1229.2,True,1229.2,True,0.82000000000005,2.25
2016-11-17,736.96,1226.75,True,1226.75,True,25.230000000000018,-2.4500000000000455
2016-11-18,747.52,1211.0,True,1211.0,True,10.559999999999945,-15.75
2016-11-19,748.98,,True,1212.0833333333333,False,1.4600000000000364,1.0833333333332575
2016-11-20,729.06,,True,1213.1666666666667,False,-19.920000000000073,1.083333333333485
2016-11-21,738.53,1214.25,True,1214.25,True,9.470000000000027,1.0833333333332575
2016-11-22,736.97,1212.25,True,1212.25,True,-1.5599999999999454,-2.0
2016-11-23,741.63,1185.35,True,1185.35,True,4.659999999999968,-26.90000000000009
2016-11-24,737.45,1186.1,True,1186.1,True,-4.17999999999995,0.75
2016-11-25,735.64,1187.7,True,1187.7,True,-1.8100000000000591,1.6000000000001364
2016-11-26,733.67,,True,1187.4666666666667,False,-1.9700000000000273,-0.2333333333333485
2016-11-27,727.96,,True,1187.2333333333333,False,-5.709999999999923,-0.2333333333333485
2016-11-28,727.31,1187.0,True,1187.0,True,-0.650000000000091,-0.2333333333333485
2016-11-29,732.71,1186.55,True,1186.55,True,5.400000000000091,-0.4500000000000455
2016-11-30,742.69,1178.1,True,1178.1,True,9.980000000000018,-8.450000000000045
2016-12-01,742.05,1161.85,True,1161.85,True,-0.6400000000001,-16.25
2016-12-02,772.43,1173.5,True,1173.5,True,30.379999999999995,11.650000000000091
2016-12-03,764.33,,True,1169.7333333333333,False,-8.099999999999909,-3.7666666666666515
2016-12-04,762.97,,True,1165.9666666666667,False,-1.3600000000000136,-3.7666666666666515
2016-12-05,754.63,1162.2,True,1162.2,True,-8.340000000000032,-3.7666666666666515
2016-12-06,756.62,1172.5,True,1172.5,True,1.990000000000009,10.299999999999955
2016-12-07,758.99,1177.65,True,1177.65,True,2.3700000000000045,5.150000000000091
2016-12-08,769.72,1171.05,True,1171.05,True,10.730000000000018,-6.600000000000136
2016-12-09,770.02,1163.6,True,1163.6,True,0.2999999999999545,-7.4500000000000455
2016-12-10,769.08,,True,1161.1,False,-0.9399999999999409,-2.5
2016-12-11,777.0,,True,1158.6,False,7.919999999999959,-2.5
2016-12-12,777.0,1156.1,True,1156.1,True,0.0,-2.5
2016-12-13,777.99,1158.55,True,1158.55,True,0.9900000000000091,2.4500000000000455
2016-12-14,774.89,1162.25,True,1162.25,True,-3.1000000000000227,3.7000000000000455
2016-12-15,776.75,1126.95,True,1126.95,True,1.8600000000000136,-35.299999999999955
2016-12-16,775.88,1131.6,True,1131.6,True,-0.8700000000000045,4.649999999999864
2016-12-17,788.7,,True,1133.1499999999999,False,12.82000000000005,1.5499999999999545
2016-12-18,788.4,,True,1134.7,False,-0.3000000000000682,1.550000000000182
2016-12-19,788.67,1136.25,True,1136.25,True,0.2699999999999818,1.5499999999999545
2016-12-20,793.09,1125.7,True,1125.7,True,4.420000000000073,-10.549999999999955
2016-12-21,824.21,1133.65,True,1133.65,True,31.120000000000005,7.9500000000000455
2016-12-22,834.97,1131.35,True,1131.35,True,10.759999999999991,-2.300000000000182
2016-12-23,901.31,,True,1131.8916666666667,False,66.33999999999992,0.5416666666667425
2016-12-24,891.61,,True,1132.4333333333332,False,-9.699999999999932,0.5416666666665151
2016-12-25,892.6,,True,1132.975,False,0.9900000000000091,0.5416666666667425
2016-12-26,897.33,,True,1133.5166666666667,False,4.730000000000018,0.5416666666667425
2016-12-27,930.37,,True,1134.0583333333332,False,33.039999999999964,0.5416666666665151
2016-12-28,930.34,1134.6,True,1134.6,True,-0.029999999999972715,0.5416666666667425
2016-12-29,963.38,1145.9,True,1145.9,True,33.039999999999964,11.300000000000182
2016-12-30,952.15,,True,1146.92,False,-11.230000000000018,1.0199999999999818
2016-12-31,958.12,,True,1147.94,False,5.970000000000027,1.0199999999999818
2017-01-01,997.72,,True,1148.96,False,39.60000000000002,1.0199999999999818
2017-01-02,1015.97,,True,1149.98,False,18.25,1.0199999999999818
2017-01-03,1013.42,1151.0,True,1151.0,True,-2.550000000000068,1.0199999999999818
2017-01-04,1126.76,1164.25,True,1164.25,True,113.34000000000003,13.25
2017-01-05,994.67,1176.7,True,1176.7,True,-132.09000000000003,12.450000000000045
2017-01-06,999.65,1175.85,True,1175.85,True,4.980000000000018,-0.8500000000001364
2017-01-07,896.83,,True,1176.7333333333333,False,-102.81999999999994,0.8833333333334394
2017-01-08,908.14,,True,1177.6166666666666,False,11.309999999999945,0.8833333333332121
2017-01-09,910.49,1178.5,True,1178.5,True,2.3500000000000227,0.8833333333334394
2017-01-10,906.05,1189.5,True,1189.5,True,-4.440000000000055,11.0
2017-01-11,785.22,1178.55,True,1178.55,True,-120.82999999999993,-10.950000000000045
2017-01-12,780.92,1205.05,True,1205.05,True,-4.300000000000068,26.5
2017-01-13,826.29,1190.35,True,1190.35,True,45.370000000000005,-14.700000000000045
2017-01-14,817.91,,True,1194.5666666666666,False,-8.379999999999995,4.216666666666697
2017-01-15,819.55,,True,1198.7833333333333,False,1.6399999999999864,4.216666666666697
2017-01-16,830.5,1203.0,True,1203.0,True,10.950000000000045,4.216666666666697
2017-01-17,903.84,1216.05,True,1216.05,True,73.34000000000003,13.049999999999955
2017-01-18,906.6,1214.75,True,1214.75,True,2.759999999999991,-1.2999999999999545
2017-01-19,895.798875,1196.05,True,1196.05,True,-10.80112500000007,-18.700000000000045
2017-01-20,893.6210875,1200.55,True,1200.55,True,-2.1777874999999085,4.5
2017-01-21,895.64,,True,1204.6499999999999,False,2.018912499999942,4.099999999999909
2017-01-22,918.603625,,True,1208.75,False,22.96362499999998,4.100000000000136
2017-01-23,922.0736125,1212.85,True,1212.85,True,3.469987500000002,4.099999999999909
2017-01-24,919.97,1216.8,True,1216.8,True,-2.10361249999994,3.9500000000000455
2017-01-25,893.045625,1195.0,True,1195.0,True,-26.924375000000055,-21.799999999999955
2017-01-26,915.95625,1189.7,True,1189.7,True,22.910624999999982,-5.2999999999999545
2017-01-27,915.05,1184.85,True,1184.85,True,-0.90625,-4.850000000000136
2017-01-28,920.31225,,True,1187.5,False,5.2622499999999945,2.650000000000091
2017-01-29,915.933,,True,1190.1499999999999,False,-4.379249999999956,2.6499999999998636
2017-01-30,912.19,1192.8,True,1192.8,True,-3.742999999999938,2.650000000000091
2017-01-31,964.706075,1212.8,True,1212.8,True,52.516075,20.0
2017-02-01,979.703875,1203.65,True,1203.65,True,14.997799999999984,-9.149999999999864
2017-02-02,983.42,1221.95,True,1221.95,True,3.71612499999992,18.299999999999955
2017-02-03,1013.027,1215.2,True,1215.2,True,29.607000000000085,-6.75
2017-02-04,1030.999413,,True,1219.05,False,17.97241299999996,3.849999999999909
2017-02-05,1034.07,,True,1222.9,False,3.0705869999999322,3.8500000000001364
2017-02-06,1024.01375,1226.75,True,1226.75,True,-10.056249999999864,3.849999999999909
2017-02-07,1050.11,1231.0,True,1231.0,True,26.096249999999827,4.25
2017-02-08,1052.84,1242.1,True,1242.1,True,2.730000000000018,11.099999999999909
2017-02-09,976.103,1236.8,True,1236.8,True,-76.73699999999997,-5.2999999999999545
2017-02-10,999.1035,1228.3,True,1228.3,True,23.000500000000102,-8.5
2017-02-11,997.59,,True,1226.2833333333333,False,-1.5135000000000218,-2.0166666666666515
2017-02-12,1000.604625,,True,1224.2666666666667,False,3.0146250000000236,-2.0166666666666515
2017-02-13,999.877375,1222.25,True,1222.25,True,-0.7272500000000264,-2.0166666666666515
2017-02-14,1001.2,1230.75,True,1230.75,True,1.3226250000000164,8.5
2017-02-15,1012.325988,1224.4,True,1224.4,True,11.125988000000007,-6.349999999999909
2017-02-16,1035.208125,1240.55,True,1240.55,True,22.882137000000057,16.149999999999864
2017-02-17,1035.2,1241.95,True,1241.95,True,-0.008125000000063665,1.400000000000091
2017-02-18,1056.637138,,True,1240.4,False,21.437138000000004,-1.5499999999999545
2017-02-19,1052.779286,,True,1238.85,False,-3.8578520000000935,-1.550000000000182
2017-02-20,1050.87,1237.3,True,1237.3,True,-1.9092860000000655,-1.5499999999999545
2017-02-21,1123.788429,1233.2,True,1233.2,True,72.91842900000006,-4.099999999999909
2017-02-22,1123.223188,1236.65,True,1236.65,True,-0.5652410000000145,3.4500000000000455
2017-02-23,1130.01,1247.9,True,1247.9,True,6.7868120000000545,11.25
2017-02-24,1174.86625,1253.65,True,1253.65,True,44.856250000000045,5.75
2017-02-25,1150.605714,,True,1254.8333333333335,False,-24.260536000000002,1.183333333333394
2017-02-26,1150.37,,True,1256.0166666666667,False,-0.23571400000014364,1.1833333333331666
2017-02-27,1190.75195,1257.2,True,1257.2,True,40.38195000000019,1.183333333333394
2017-02-28,1187.565286,1255.6,True,1255.6,True,-3.1866640000000643,-1.6000000000001364
2017-03-01,1190.89,1240.4,True,1240.4,True,3.3247140000000854,-15.199999999999818
2017-03-02,1259.410817,1238.1,True,1238.1,True,68.52081699999985,-2.300000000000182
2017-03-03,1285.14,1226.5,True,1226.5,True,25.72918300000015,-11.599999999999909
2017-03-04,1287.0,,True,1227.9833333333333,False,1.8599999999999,1.4833333333333485
2017-03-05,1270.9333,,True,1229.4666666666667,False,-16.066700000000083,1.4833333333333485
2017-03-06,1275.197375,1230.95,True,1230.95,True,4.264075000000048,1.4833333333333485
2017-03-07,1279.5,1216.65,True,1216.65,True,4.302625000000035,-14.299999999999955
2017-03-08,1157.3933,1209.2,True,1209.2,True,-122.10670000000005,-7.4500000000000455
2017-03-09,1192.469143,1206.55,True,1206.55,True,35.07584300000008,-2.650000000000091
2017-03-10,1192.09,1202.65,True,1202.65,True,-0.3791430000001128,-3.8999999999998636
2017-03-11,1179.159875,,True,1203.1666666666667,False,-12.930124999999862,0.5166666666666515
2017-03-12,1227.494625,,True,1203.6833333333334,False,48.334749999999985,0.5166666666666515
2017-03-13,1227.68,1204.2,True,1204.2,True,0.18537500000002183,0.5166666666666515
2017-03-14,1245.370786,1204.6,True,1204.6,True,17.69078599999989,0.3999999999998636
2017-03-15,1257.399625,1198.8,True,1198.8,True,12.028839000000062,-5.7999999999999545
2017-03-16,1257.0,1229.35,True,1229.35,True,-0.39962500000001455,30.549999999999955
2017-03-17,1091.171888,1229.6,True,1229.6,True,-165.82811199999992,0.25
2017-03-18,952.2323625,,True,1230.5333333333333,False,-138.93952550000006,0.933333333333394
2017-03-19,967.69,,True,1231.4666666666667,False,15.457637500000033,0.933333333333394
2017-03-20,1049.084488,1232.4,True,1232.4,True,81.39448799999991,0.933333333333394
2017-03-21,1118.630043,1241.6,True,1241.6,True,69.54555499999992,9.199999999999818
2017-03-22,1113.0,1249.05,True,1249.05,True,-5.630042999999887,7.4500000000000455
2017-03-23,1038.789,1247.5,True,1247.5,True,-74.21100000000001,-1.5499999999999545
2017-03-24,941.9197143,1247.5,True,1247.5,True,-96.86928569999998,0.0
2017-03-25,927.93,,True,1250.85,False,-13.98971430000006,3.349999999999909
2017-03-26,956.7863125,,True,1254.2,False,28.856312500000058,3.3500000000001364
2017-03-27,1037.22925,1257.55,True,1257.55,True,80.44293750000008,3.349999999999909
2017-03-28,1041.04,1257.25,True,1257.25,True,3.810749999999871,-0.2999999999999545
2017-03-29,1040.5755,1251.1,True,1251.1,True,-0.46450000000004366,-6.150000000000091
2017-03-30,1037.90455,1248.8,True,1248.8,True,-2.670949999999948,-2.2999999999999545
2017-03-31,1034.74,1244.85,True,1244.85,True,-3.164549999999963,-3.9500000000000455
2017-04-01,1086.929571,,True,1245.6499999999999,False,52.18957099999989,0.7999999999999545
2017-04-02,1099.169125,,True,1246.45,False,12.239553999999998,0.8000000000001819
2017-04-03,1079.99,1247.25,True,1247.25,True,-19.179124999999885,0.7999999999999545
2017-04-04,1141.600363,1257.65,True,1257.65,True,61.61036300000001,10.400000000000091
2017-04-05,1133.079314,1245.8,True,1245.8,True,-8.521048999999948,-11.850000000000136
2017-04-06,1133.53,1252.5,True,1252.5,True,0.4506859999999051,6.7000000000000455
2017-04-07,1190.45425,1266.45,True,1266.45,True,56.92425000000003,13.950000000000045
2017-04-08,1181.149838,,True,1260.9833333333333,False,-9.304411999999957,-5.466666666666697
2017-04-09,1184.03,,True,1255.5166666666667,False,2.8801619999999275,-5.466666666666697
2017-04-10,1207.744875,1250.05,True,1250.05,True,23.71487500000012,-5.466666666666697
2017-04-11,1226.617038,1252.9,True,1252.9,True,18.872163,2.8500000000001364
2017-04-12,1219.09,1274.3,True,1274.3,True,-7.527038000000175,21.399999999999864
2017-04-13,1180.023713,1284.15,True,1284.15,True,-39.066286999999875,9.850000000000136
2017-04-14,1185.260057,,True,1283.1100000000001,False,5.236343999999917,-1.0399999999999636
2017-04-15,1170.36,,True,1282.0700000000002,False,-14.90005700000006,-1.0399999999999636
2017-04-16,1186.927413,,True,1281.03,False,16.567412999999988,-1.040000000000191
2017-04-17,1205.634875,,True,1279.99,False,18.707462000000078,-1.0399999999999636
2017-04-18,1176.97,1278.95,True,1278.95,True,-28.664874999999938,-1.0399999999999636
2017-04-19,1217.930088,1279.05,True,1279.05,True,40.96008800000004,0.09999999999990905
2017-04-20,1241.686325,1282.1,True,1282.1,True,23.756236999999828,3.0499999999999545
2017-04-21,1236.63,1281.85,True,1281.85,True,-5.056324999999788,-0.25
2017-04-22,1261.311225,,True,1277.7,False,24.681224999999813,-4.149999999999864
2017-04-23,1257.988113,,True,1273.55,False,-3.32311199999981,-4.150000000000091
2017-04-24,1240.84,1269.4,True,1269.4,True,-17.148113000000194,-4.149999999999864
2017-04-25,1279.414688,1267.8,True,1267.8,True,38.57468800000015,-1.6000000000001364
2017-04-26,1309.109875,1261.85,True,1261.85,True,29.695187000000033,-5.9500000000000455
2017-04-27,1288.02,1262.8,True,1262.8,True,-21.08987500000012,0.9500000000000455
2017-04-28,1331.294429,1266.45,True,1266.45,True,43.274429000000055,3.650000000000091
2017-04-29,1334.979038,,True,1263.7,False,3.6846089999999094,-2.75
2017-04-30,1333.0,,True,1260.95,False,-1.979037999999946,-2.75
2017-05-01,1417.172813,,True,1258.2,False,84.1728129999999,-2.75
2017-05-02,1452.076288,1255.45,True,1255.45,True,34.90347500000007,-2.75
2017-05-03,1447.55,1250.3,True,1250.3,True,-4.526288000000022,-5.150000000000091
2017-05-04,1508.292125,1228.45,True,1228.45,True,60.74212499999999,-21.84999999999991
2017-05-05,1533.335071,1228.05,True,1228.05,True,25.04294600000003,-0.40000000000009095
2017-05-06,1518.75,,True,1228.6333333333332,False,-14.58507099999997,0.5833333333332575
2017-05-07,1535.868429,,True,1229.2166666666667,False,17.118429000000106,0.5833333333334849
2017-05-08,1640.619225,1229.8,True,1229.8,True,104.75079599999981,0.5833333333332575
2017-05-09,1651.1,1220.4,True,1220.4,True,10.480774999999994,-9.399999999999864
2017-05-10,1762.88625,1222.95,True,1222.95,True,111.78625000000011,2.5499999999999545
2017-05-11,1820.990563,1223.15,True,1223.15,True,58.10431300000005,0.20000000000004547
2017-05-12,1829.0,1231.25,True,1231.25,True,8.009436999999934,8.099999999999909
2017-05-13,1771.920013,,True,1231.9333333333334,False,-57.079987000000074,0.683333333333394
2017-05-14,1776.3165,,True,1232.6166666666666,False,4.396486999999979,0.6833333333331666
2017-05-15,1780.0,1233.3,True,1233.3,True,3.6835000000000946,0.683333333333394
2017-05-16,1739.031975,1234.2,True,1234.2,True,-40.9680249999999,0.900000000000091
2017-05-17,1807.485063,1257.4,True,1257.4,True,68.45308799999998,23.200000000000045
2017-05-18,1783.98,1255.9,True,1255.9,True,-23.505063000000064,-1.5
2017-05-19,1961.520488,1252.0,True,1252.0,True,177.54048799999987,-3.900000000000091
2017-05-20,2052.909788,,True,1254.2833333333333,False,91.38930000000005,2.283333333333303
2017-05-21,2008.84,,True,1256.5666666666666,False,-44.06978800000002,2.283333333333303
2017-05-22,2090.662313,1258.85,True,1258.85,True,81.8223129999999,2.283333333333303
2017-05-23,2287.710288,1260.2,True,1260.2,True,197.0479750000004,1.3500000000001364
2017-05-24,2256.32,1252.55,True,1252.55,True,-31.390288000000055,-7.650000000000091
2017-05-25,2387.206286,1256.95,True,1256.95,True,130.88628599999993,4.400000000000091
2017-05-26,2211.976857,1265.05,True,1265.05,True,-175.22942899999998,8.099999999999909
2017-05-27,2279.82,,True,1264.4625,False,67.84314300000005,-0.5874999999998636
2017-05-28,2192.9808,,True,1263.875,False,-86.83920000000035,-0.587500000000091
2017-05-29,2275.9307,,True,1263.2875,False,82.94990000000007,-0.587500000000091
2017-05-30,2290.02,1262.7,True,1262.7,True,14.089300000000094,-0.5874999999998636
2017-05-31,2285.933914,1266.2,True,1266.2,True,-4.086085999999796,3.5
2017-06-01,2399.242671,1264.85,True,1264.85,True,113.30875699999979,-1.3500000000001364
2017-06-02,2409.93,1274.95,True,1274.95,True,10.687328999999863,10.100000000000136
2017-06-03,2525.765158,,True,1276.6166666666668,False,115.83515800000032,1.6666666666667425
2017-06-04,2516.173143,,True,1278.2833333333333,False,-9.592015000000174,1.666666666666515
2017-06-05,2529.53,1279.95,True,1279.95,True,13.356857000000218,1.6666666666667425
2017-06-06,2883.313697,1293.5,True,1293.5,True,353.78369699999985,13.549999999999955
2017-06-07,2664.920863,1291.0,True,1291.0,True,-218.39283400000022,-2.5
2017-06-08,2683.03,1273.1,True,1273.1,True,18.109137000000374,-17.90000000000009
2017-06-09,2827.4913,1266.55,True,1266.55,True,144.46129999999994,-6.5499999999999545
2017-06-10,2845.372857,,True,1266.5,False,17.881556999999702,-0.049999999999954525
2017-06-11,2898.63,,True,1266.45,False,53.25714300000027,-0.049999999999954525
2017-06-12,2657.675063,1266.4,True,1266.4,True,-240.95493699999997,-0.049999999999954525
2017-06-13,2748.185086,1262.0,True,1262.0,True,90.51002299999982,-4.400000000000091
2017-06-14,2706.0,1275.5,True,1275.5,True,-42.185085999999956,13.5
2017-06-15,2442.48025,1254.55,True,1254.55,True,-263.51974999999993,-20.950000000000045
2017-06-16,2464.959814,1255.4,True,1255.4,True,22.479563999999755,0.8500000000001364
2017-06-17,2477.94,,True,1252.9833333333333,False,12.98018600000023,-2.4166666666667425
2017-06-18,2507.389252,,True,1250.5666666666668,False,29.449251999999888,-2.416666666666515
2017-06-19,2617.210263,1248.15,True,1248.15,True,109.821011,-2.4166666666667425
2017-06-20,2600.0,1242.2,True,1242.2,True,-17.21026299999994,-5.9500000000000455
2017-06-21,2671.04325,1242.5,True,1242.5,True,71.04325000000017,0.2999999999999545
2017-06-22,2727.288013,1250.8,True,1250.8,True,56.24476299999969,8.299999999999955
2017-06-23,2713.48,1255.7,True,1255.7,True,-13.808012999999846,4.900000000000091
2017-06-24,2589.164888,,True,1252.2166666666667,False,-124.31511200000023,-3.4833333333333485
2017-06-25,2512.366286,,True,1248.7333333333333,False,-76.79860199999985,-3.4833333333333485
2017-06-26,2502.03,1245.25,True,1245.25,True,-10.336285999999745,-3.4833333333333485
2017-06-27,2517.903114,1249.55,True,1249.55,True,15.873113999999987,4.2999999999999545
2017-06-28,2585.349186,1248.0,True,1248.0,True,67.44607199999973,-1.5499999999999545
2017-06-29,2558.3,1243.5,True,1243.5,True,-27.049185999999736,-4.5
2017-06-30,2477.641375,1242.25,True,1242.25,True,-80.65862500000003,-1.25
2017-07-01,2501.191343,,True,1237.9166666666667,False,23.549967999999808,-4.3333333333332575
2017-07-02,2421.26,,True,1233.5833333333333,False,-79.93134299999974,-4.333333333333485
2017-07-03,2561.225429,1229.25,True,1229.25,True,139.96542899999986,-4.3333333333332575
2017-07-04,2599.729838,1223.75,True,1223.75,True,38.50440900000012,-5.5
2017-07-05,2598.89,1220.3,True,1220.3,True,-0.8398380000003272,-3.4500000000000455
2017-07-06,2609.96775,1224.9,True,1224.9,True,11.077749999999924,4.600000000000136
2017-07-07,2491.201214,1215.65,True,1215.65,True,-118.76653599999963,-9.25
2017-07-08,2502.86,,True,1214.4,False,11.658785999999964,-1.25
2017-07-09,2536.238938,,True,1213.15,False,33.378937999999835,-1.25
2017-07-10,2366.170143,1211.9,True,1211.9,True,-170.06879500000014,-1.25
2017-07-11,2327.09,1211.05,True,1211.05,True,-39.08014299999968,-0.8500000000001364
2017-07-12,2385.748571,1218.8,True,1218.8,True,58.65857099999994,7.75
2017-07-13,2354.783417,1218.9,True,1218.9,True,-30.965153999999984,0.10000000000013642
2017-07-14,2338.49,1230.3,True,1230.3,True,-16.293417000000318,11.399999999999864
2017-07-15,2058.9956,,True,1231.5666666666666,False,-279.4943999999996,1.2666666666666515
2017-07-16,1931.2143,,True,1232.8333333333333,False,-127.7813000000001,1.2666666666666515
2017-07-17,1910.96,1234.1,True,1234.1,True,-20.254300000000057,1.2666666666666515
2017-07-18,2320.12225,1240.75,True,1240.75,True,409.16224999999986,6.650000000000091
2017-07-19,2264.7657,1242.15,True,1242.15,True,-55.35654999999997,1.400000000000091
2017-07-20,2265.21,1238.7,True,1238.7,True,0.44430000000011205,-3.4500000000000455
2017-07-21,2682.195363,1248.55,True,1248.55,True,416.9853629999998,9.849999999999909
2017-07-22,2807.609857,,True,1250.8833333333332,False,125.4144940000001,2.3333333333332575
2017-07-23,2825.51,,True,1253.2166666666667,False,17.9001430000003,2.333333333333485
2017-07-24,2751.821029,1255.55,True,1255.55,True,-73.68897100000004,2.3333333333332575
2017-07-25,2560.997917,1254.4,True,1254.4,True,-190.82311200000004,-1.1499999999998636
2017-07-26,2564.3,1248.1,True,1248.1,True,3.3020830000000387,-6.300000000000182
2017-07-27,2647.625,1261.1,True,1261.1,True,83.32499999999982,13.0
2017-07-28,2781.636583,1264.9,True,1264.9,True,134.01158299999997,3.800000000000182
2017-07-29,2784.8,,True,1265.7833333333333,False,3.1634170000002086,0.8833333333332121
2017-07-30,2745.955417,,True,1266.6666666666667,False,-38.84458300000006,0.8833333333334394
2017-07-31,2866.431667,1267.55,True,1267.55,True,120.47624999999971,0.8833333333332121
2017-08-01,2862.9,1270.95,True,1270.95,True,-3.531666999999743,3.400000000000091
2017-08-02,2693.633983,1269.6,True,1269.6,True,-169.26601699999992,-1.3500000000001364
2017-08-03,2794.117717,1268.1,True,1268.1,True,100.48373399999991,-1.5
2017-08-04,2790.0,1257.7,True,1257.7,True,-4.117717000000084,-10.399999999999864
